Whitfield,GA,1.167e+05
Frio,TX,96000
Spalding,GA,88200
Mecosta,MI,1.019e+05
Johnson,IN,1.435e+05
Johnson,KS,2.351e+05
Johnson,MO,1.447e+05
Johnson,NE,96500
Johnson,TX,1.635e+05
Llano,TX,2.165e+05
Ketchikan Gateway,AK,2.325e+05
Panola,MS,91800
Panola,TX,1.302e+05
Deschutes,OR,3.424e+05
Dukes,MA,7.297e+05
Stutsman,ND,1.611e+05
Ontario,NY,1.514e+05
Craighead,AR,1.207e+05
Paulding,GA,1.53e+05
White,AR,1.092e+05
White,GA,1.416e+05
White,TN,1.065e+05
Yavapai,AZ,2.653e+05
Lassen,CA,1.593e+05
Thurston,WA,2.612e+05
Yuba,CA,2.319e+05
Rutherford,TN,1.895e+05
Kendall,IL,2.202e+05
Copiah,MS,84200
Hawaii,HI,3.398e+05
Otsego,NY,1.223e+05
Meriwether,GA,68200
Hawkins,TN,1.171e+05
Alachua,FL,1.61e+05
Milwaukee,WI,1.109e+05
Windsor,VT,1.879e+05
Dallas,AR,60300
Dallas,IA,2.065e+05
Dallas,MO,1.186e+05
Dallas,TX,1.711e+05
Ulster,NY,1.923e+05
Routt,CO,4.086e+05
Anderson,SC,1.198e+05
Forrest,MS,1.087e+05
Washington,AR,1.602e+05
Washington,IN,89800
Washington,LA,1.128e+05
Washington,MD,1.721e+05
Washington,MN,2.655e+05
Washington,NE,1.654e+05
Washington,NY,1.297e+05
Washington,OK,1.016e+05
Washington,OR,3.709e+05
Washington,PA,1.428e+05
Washington,RI,3.403e+05
Washington,TN,1.306e+05
Washington,TX,1.587e+05
Washington,UT,2.278e+05
Washington,VT,2.102e+05
Washington,WI,2.263e+05
Guilford,NC,1.332e+05
Natchitoches,LA,1.353e+05
Brown,IN,1.757e+05
Brown,KS,72900
Brown,OH,1.15e+05
Brown,TX,84700
Brown,WI,1.582e+05
Georgetown,SC,2.141e+05
Bee,TX,98000
Spotsylvania,VA,2.289e+05
Chatham,GA,1.554e+05
Chatham,NC,2.558e+05
Hanover,VA,2.481e+05
Crawford,AR,1.097e+05
Crawford,IN,73500
Crawford,MO,1.13e+05
Cameron,TX,78300
Branch,MI,1.132e+05
Dougherty,GA,78500
Delta,CO,1.778e+05
Delta,TX,65700
San Juan,WA,4.648e+05
Gregg,TX,1.281e+05
Lamar,MS,1.492e+05
Thomas,GA,1.057e+05
Bolivar,MS,1.205e+05
Marinette,WI,1.057e+05
Catoosa,GA,1.269e+05
Barrow,GA,1.458e+05
Morris,NJ,4.183e+05
Calloway,KY,1.388e+05
Marion,FL,1.324e+05
Marion,IN,1.116e+05
Marion,MS,1.036e+05
Marion,OR,2.292e+05
Marion,TN,1.142e+05
Hampden,MA,1.869e+05
Allen,IN,1.101e+05
Allen,OH,92300
Gwinnett,GA,1.95e+05
Hood River,OR,3.915e+05
Lyon,NV,2.02e+05
Sussex,NJ,2.292e+05
Young,TX,93500
Pittsylvania,VA,1.24e+05
Tate,MS,1.145e+05
Tompkins,NY,2.048e+05
Windham,CT,1.805e+05
Du Page,IL,2.766e+05
Marin,CA,1.0307e+06
Comal,TX,2.611e+05
Teton,ID,3.536e+05
Houston,GA,1.106e+05
Lincoln,LA,1.737e+05
Lincoln,MO,1.622e+05
Lincoln,MS,1.099e+05
Lincoln,NC,1.356e+05
Lincoln,NE,1.434e+05
Lincoln,TN,93700
Seneca,NY,1.037e+05
Fresno,CA,2.174e+05
Snohomish,WA,3.842e+05
Oswego,NY,94300
Pike,GA,1.353e+05
Pike,IN,68000
Iberia,LA,93900
Beaverhead,MT,1.398e+05
Santa Barbara,CA,5.61e+05
Ripley,IN,1.146e+05
Rockingham,NH,2.994e+05
DeKalb,IL,1.554e+05
Honolulu,HI,6.499e+05
Olmsted,MN,1.939e+05
Dickson,TN,1.394e+05
Stafford,VA,3.132e+05
Merrimack,NH,2.211e+05
Kane,IL,2.126e+05
