RegionName,State,Metro,homeindex
Teton,ID,Jackson,353600
Yazoo,MS,Jackson,84600
Clay,FL,Jacksonville,172200
Duval,FL,Jacksonville,151500
Morgan,IL,Jacksonville,86800
Nassau,FL,Jacksonville,234800
Saint Johns,FL,Jacksonville,282600
Stutsman,ND,Jamestown,161100
Rock,WI,Janesville,135200
Dubois,IN,Jasper,139200
Pike,IN,Jasper,68000
Jackson,GA,Jefferson,176200
Cole,MO,Jefferson City,127300
Wayne,GA,Jesup,106000
Carter,TN,Johnson City,111300
Washington,TN,Johnson City,130600
Craighead,AR,Jonesboro,120700
Jasper,MO,Joplin,82500
Juneau,AK,Juneau,319300
Maui,HI,Kahului,599200
Kalamazoo,MI,Kalamazoo,142800
Van Buren,MI,Kalamazoo,128500
Kankakee,IL,Kankakee,122500
Cass,MO,Kansas City,159800
Clay,MO,Kansas City,148700
Jackson,MO,Kansas City,116000
Johnson,KS,Kansas City,235100
Miami,KS,Kansas City,179000
Wyandotte,KS,Kansas City,79900
Kauai,HI,Kapaa,534100
Cheshire,NH,Keene,177500
Noble,IN,Kendallville,111900
Benton,WA,Kennewick,259300
Franklin,WA,Kennewick,183800
Ketchikan Gateway,AK,Ketchikan,232500
Monroe,FL,Key West,558300
Bell,TX,Killeen,119300
Coryell,TX,Killeen,90100
Lampasas,TX,Killeen,151200
Bristol City,VA,Kingsport,99600
Hawkins,TN,Kingsport,117100
Sullivan,TN,Kingsport,120600
Ulster,NY,Kingston,192300
Klamath,OR,Klamath Falls,151900
Blount,TN,Knoxville,146200
Campbell,TN,Knoxville,105600
Knox,TN,Knoxville,158000
Loudon,TN,Knoxville,153400
Roane,TN,Knoxville,130700
Union,TN,Knoxville,113600
Howard,IN,Kokomo,85200
La Crosse,WI,La Crosse,152300
Union,OR,La Grande,170600
Belknap,NH,Laconia,207000
Iberia,LA,Lafayette,93900
Benton,IN,Lafayette-West Lafayette,73400
Carroll,IN,Lafayette-West Lafayette,108500
Tippecanoe,IN,Lafayette-West Lafayette,130600
Calcasieu,LA,Lake Charles,162000
Columbia,FL,Lake City,120200
Mohave,AZ,Lake Havasu City,179600
Polk,FL,Lakeland,153800
Lancaster,PA,Lancaster,189800
Clinton,MI,Lansing,167700
Eaton,MI,Lansing,137500
Ingham,MI,Lansing,124200
Webb,TX,Laredo,118600
Dona Ana,NM,Las Cruces,136900
Clark,NV,Las Vegas,216400
Jasper,MS,Laurel,97200
Jones,MS,Laurel,104500
Douglas,KS,Lawrence,170500
Lawrence,TN,Lawrenceburg,95400
Laclede,MO,Lebanon,111500
Marshall,TN,Lewisburg,112600
Nez Perce,ID,Lewiston,179900
Fayette,KY,Lexington,160500
Jessamine,KY,Lexington,135000
Scott,KY,Lexington,178400
Allen,OH,Lima,92300
Lancaster,NE,Lincoln,156000
Faulkner,AR,Little Rock,136400
Pulaski,AR,Little Rock,121400
Saline,AR,Little Rock,142200
Clinton,PA,Lock Haven,139800
Cass,IN,Logansport,71900
Cowlitz,WA,Longview,162600
Gregg,TX,Longview,128100
Rusk,TX,Longview,114000
Los Angeles,CA,Los Angeles-Long Beach-Anaheim,552600
Orange,CA,Los Angeles-Long Beach-Anaheim,673800
Clark,IN,Louisville/Jefferson County,116500
Floyd,IN,Louisville/Jefferson County,154800
Harrison,IN,Louisville/Jefferson County,125100
Henry,KY,Louisville/Jefferson County,147300
Oldham,KY,Louisville/Jefferson County,269900
Scott,IN,Louisville/Jefferson County,87700
Shelby,KY,Louisville/Jefferson County,179100
Washington,IN,Louisville/Jefferson County,89800
Mason,MI,Ludington,120100
Amherst,VA,Lynchburg,146200
Bedford,VA,Lynchburg,173700
Campbell,VA,Lynchburg,148600
Lynchburg City,VA,Lynchburg,125700
McDonough,IL,Macomb,76200
Jones,GA,Macon,114500
Madera,CA,Madera,217500
Columbia,WI,Madison,173400
Dane,WI,Madison,242600
Jefferson,IN,Madison,109400
Hopkins,KY,Madisonville,98600
Franklin,NY,Malone,81300
Hillsborough,NH,Manchester,248900
Blue Earth,MN,Mankato,178900
Marinette,WI,Marinette,105700
Grant,IN,Marion,67200
Weakley,TN,Martin,76600
Henry,VA,Martinsville,80200
Pittsburg,OK,McAlester,90300
Warren,TN,McMinnville,81000
Jackson,OR,Medford,252600
Brevard,FL,Melbourne,179600
Benton,MS,Memphis,76500
DeSoto,MS,Memphis,136800
Fayette,TN,Memphis,168100
Marshall,MS,Memphis,75400
Shelby,TN,Memphis,109800
Tate,MS,Memphis,114500
Tipton,TN,Memphis,129000
Merced,CA,Merced,222000
Clarke,MS,Meridian,80400
Audrain,MO,Mexico,96600
Broward,FL,Miami-Fort Lauderdale,223600
Miami-Dade,FL,Miami-Fort Lauderdale,267600
Palm Beach,FL,Miami-Fort Lauderdale,250500
Bell,KY,Middlesborough,78300
Midland,TX,Midland,190200
Midland,MI,Midland,124900
Milwaukee,WI,Milwaukee,110900
Ozaukee,WI,Milwaukee,263700
Washington,WI,Milwaukee,226300
Waukesha,WI,Milwaukee,262200
Carver,MN,Minneapolis-St Paul,295600
Dakota,MN,Minneapolis-St Paul,254900
Hennepin,MN,Minneapolis-St Paul,249800
Ramsey,MN,Minneapolis-St Paul,223400
Scott,MN,Minneapolis-St Paul,283600
Washington,MN,Minneapolis-St Paul,265500
McHenry,ND,Minot,99600
Ward,ND,Minot,207400
Missoula,MT,Missoula,242400
Randolph,MO,Moberly,84200
Mobile,AL,Mobile,109900
Stanislaus,CA,Modesto,263000
Monroe,MI,Monroe,150100
Union,LA,Monroe,129600
Autauga,AL,Montgomery,129200
Montrose,CO,Montrose,205600
Carteret,NC,Morehead City,244000
Hamblen,TN,Morristown,110900
Jefferson,TN,Morristown,138900
Grant,WA,Moses Lake,134000
Colquitt,GA,Moultrie,82700
Skagit,WA,Mount Vernon,290600
Delaware,IN,Muncie,79800
Calloway,KY,Murray,138800
Muskegon,MI,Muskegon,109400
Brunswick,NC,Myrtle Beach,207500
Nacogdoches,TX,Nacogdoches,114900
Napa,CA,Napa,581600
Collier,FL,Naples,337000
Cheatham,TN,Nashville,162200
Davidson,TN,Nashville,222400
Dickson,TN,Nashville,139400
Hickman,TN,Nashville,120700
Macon,TN,Nashville,100900
Maury,TN,Nashville,153700
Robertson,TN,Nashville,168500
Rutherford,TN,Nashville,189500
Smith,TN,Nashville,118600
Sumner,TN,Nashville,196300
Trousdale,TN,Nashville,140400
Williamson,TN,Nashville,418200
Wilson,TN,Nashville,250900
Concordia,LA,Natchez,106200
Natchitoches,LA,Natchitoches,135300
Henry,IN,New Castle,72800
Lawrence,PA,New Castle,88600
New Haven,CT,New Haven,216800
New London,CT,New London,218400
Jefferson,LA,New Orleans,170900
Orleans,LA,New Orleans,172700
Plaquemines,LA,New Orleans,247900
Saint Bernard,LA,New Orleans,142600
Saint Charles,LA,New Orleans,192400
Saint John the Baptist,LA,New Orleans,120100
Saint Tammany,LA,New Orleans,187000
Tuscarawas,OH,New Philadelphia,117000
Bergen,NJ,New York,445900
Dutchess,NY,New York,250200
Essex,NJ,New York,362600
Hudson,NJ,New York,367900
Hunterdon,NJ,New York,373400
Kings,NY,New York,691800
Middlesex,NJ,New York,299600
Monmouth,NJ,New York,384000
Morris,NJ,New York,418300
Nassau,NY,New York,488300
New York,NY,New York,1250300
Ocean,NJ,New York,270900
Orange,NY,New York,218900
Passaic,NJ,New York,300600
Putnam,NY,New York,314300
Queens,NY,New York,484300
Richmond,NY,New York,454200
Rockland,NY,New York,408900
Somerset,NJ,New York,391800
Suffolk,NY,New York,373300
Sussex,NJ,New York,229200
Westchester,NY,New York,556900
Cocke,TN,Newport,69800
Berrien,MI,Niles,127800
Santa Cruz,AZ,Nogales,131300
Madison,NE,Norfolk,157400
Lincoln,NE,North Platte,143400
Manatee,FL,North Port-Sarasota-Bradenton,242200
Sarasota,FL,North Port-Sarasota-Bradenton,249600
Jennings,IN,North Vernon,100600
Island,WA,Oak Harbor,333000
Marion,FL,Ocala,132400
Cape May,NJ,Ocean City,343000
Davis,UT,Ogden,249100
Weber,UT,Ogden,186500
Venango,PA,Oil City,77300
Okeechobee,FL,Okeechobee,116700
Canadian,OK,Oklahoma City,151400
Logan,OK,Oklahoma City,130300
McClain,OK,Oklahoma City,155800
Cattaraugus,NY,Olean,72100
Thurston,WA,Olympia,261200
Douglas,NE,Omaha,149500
Pottawattamie,IA,Omaha,126200
Sarpy,NE,Omaha,184400
Washington,NE,Omaha,165400
Otsego,NY,Oneonta,122300
Saint Landry,LA,Opelousas,118500
Orangeburg,SC,Orangeburg,85000
Lake,FL,Orlando,186600
Orange,FL,Orlando,207100
Osceola,FL,Orlando,182300
Seminole,FL,Orlando,220600
Winnebago,WI,Oshkosh,153400
Adams,WA,Othello,136800
La Salle,IL,Ottawa,100400
Steele,MN,Owatonna,156200
Shiawassee,MI,Owosso,113000
Granville,NC,Oxford,145600
Lafayette,MS,Oxford,175600
Putnam,FL,Palatka,112200
Bay,FL,Panama City,184600
Gulf,FL,Panama City,166400
Greene,AR,Paragould,106300
Henry,TN,Paris,98500
Gila,AZ,Payson,183800
Escambia,FL,Pensacola,135500
Santa Rosa,FL,Pensacola,180400
Peoria,IL,Peoria,104400
Tazewell,IL,Peoria,120800
Miami,IN,Peru,75700
Bucks,PA,Philadelphia,302700
Burlington,NJ,Philadelphia,222400
Camden,NJ,Philadelphia,169100
Cecil,MD,Philadelphia,214300
Chester,PA,Philadelphia,326200
Delaware,PA,Philadelphia,191500
Gloucester,NJ,Philadelphia,197200
Montgomery,PA,Philadelphia,282400
New Castle,DE,Philadelphia,218900
Philadelphia,PA,Philadelphia,134100
Salem,NJ,Philadelphia,147400
Maricopa,AZ,Phoenix,237200
Pinal,AZ,Phoenix,175900
Pearl River,MS,Picayune,130300
Jefferson,AR,Pine Bluff,72200
Allegheny,PA,Pittsburgh,137000
Armstrong,PA,Pittsburgh,100900
Beaver,PA,Pittsburgh,131800
Butler,PA,Pittsburgh,201100
Fayette,PA,Pittsburgh,89000
Washington,PA,Pittsburgh,142800
Westmoreland,PA,Pittsburgh,127500
Berkshire,MA,Pittsfield,201400
Grant,WI,Platteville,125800
Clinton,NY,Plattsburgh,116700
Marshall,IN,Plymouth,124400
Clallam,WA,Port Angeles,238100
Calhoun,TX,Port Lavaca,121600
Martin,FL,Port St. Lucie,248200
Saint Lucie,FL,Port St. Lucie,186000
Clackamas,OR,Portland,380200
Clark,WA,Portland,299900
Columbia,OR,Portland,242700
Multnomah,OR,Portland,385300
Skamania,WA,Portland,253100
Washington,OR,Portland,370900
Yamhill,OR,Portland,264800
Scioto,OH,Portsmouth,76000
Schuylkill,PA,Pottsville,74600
Yavapai,AZ,Prescott,265300
Crook,OR,Prineville,224300
Bristol,MA,Providence,283400
Bristol,RI,Providence,327500
Kent,RI,Providence,212700
Newport,RI,Providence,378000
Providence,RI,Providence,218700
Washington,RI,Providence,340300
Utah,UT,Provo,252300
Pueblo,CO,Pueblo,136300
Charlotte,FL,Punta Gorda,204200
Racine,WI,Racine,152000
Franklin,NC,Raleigh,136000
Wake,NC,Raleigh,244100
Willacy,TX,Raymondville,59800
Berks,PA,Reading,166800
Tehama,CA,Red Bluff,173600
Shasta,CA,Redding,231600
Washoe,NV,Reno,305000
Madison,ID,Rexburg,173600
Caroline,VA,Richmond,178100
Chesterfield,VA,Richmond,215000
Goochland,VA,Richmond,313100
Hanover,VA,Richmond,248100
Henrico,VA,Richmond,212700
King William,VA,Richmond,189600
Richmond City,VA,Richmond,168700
Wayne,IN,Richmond,76500
Starr,TX,Rio Grande City,81500
Riverside,CA,Riverside,333100
San Bernardino,CA,Riverside,301600
Fremont,WY,Riverton,175200
Botetourt,VA,Roanoke,172000
Craig,VA,Roanoke,94700
Franklin,VA,Roanoke,179100
Roanoke,VA,Roanoke,169700
Roanoke City,VA,Roanoke,108400
Livingston,NY,Rochester,123900
Monroe,NY,Rochester,134500
Olmsted,MN,Rochester,193900
Ontario,NY,Rochester,151400
Orleans,NY,Rochester,89900
Boone,IL,Rockford,150400
Winnebago,IL,Rockford,98800
Nash,NC,Rocky Mount,119600
Phelps,MO,Rolla,120500
Floyd,GA,Rome,116500
Douglas,OR,Roseburg,163300
Pope,AR,Russellville,111500
Lincoln,LA,Ruston,173700
Rutland,VT,Rutland,153700
El Dorado,CA,Sacramento,412200
Placer,CA,Sacramento,437600
Sacramento,CA,Sacramento,320700
Yolo,CA,Sacramento,399100
Graham,AZ,Safford,140700
Saginaw,MI,Saginaw,75100
Marion,OR,Salem,229200
Polk,OR,Salem,243400
Saline,KS,Salina,105200
Monterey,CA,Salinas,498200
Wicomico,MD,Salisbury,133300
Worcester,MD,Salisbury,214400
Salt Lake,UT,Salt Lake City,256100
Tooele,UT,Salt Lake City,189900
Tom Green,TX,San Angelo,128800
Comal,TX,San Antonio,261100
Medina,TX,San Antonio,165200
Wilson,TX,San Antonio,215300
San Diego,CA,San Diego,530900
Alameda,CA,San Francisco,755900
Contra Costa,CA,San Francisco,562300
Marin,CA,San Francisco,1030700
San Francisco,CA,San Francisco,1148900
